IDSucursal,Nombre,Apellidos,Direccion,Telefono,Email,FechaRegistro,Puesto,Salario
3,Cordelia,Houlworth,9 Montana Center,717-253-2027,choulworthe@flavors.me,02/03/07,Human Resources,16.04
3,Carin,Fellis,86976 Morningstar Alley,964-912-5217,cfellisf@1688.com,02/03/17,Services,84.62
3,Marcus,Vink,6784 Alpine Road,992-212-7339,mvinkg@va.gov,01/12/17,Services,55.64
3,Meggie,McVitty,7458 3rd Point,837-277-5174,mmcvittyh@soundcloud.com,02/03/17,Training,68.4
3,Jenny,Bardnam,7 Hintze Hill,612-199-1436,jbardnami@theglobeandmail.com,01/12/17,Support,44.97
3,Annmaria,Mulheron,63 Lighthouse Bay Parkway,245-963-0455,amulheronj@acquirethisname.com,01/12/17,Training,95.11
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
